,ItemName,Brand,BrandModel,Processor_Brand,Processor_Des,Processor_Gen,RAM,Storage,OS,ScreenSize_cm,Price,Discount,Star_Rating,Reviews,Ratings
356,ASUS VivoBook Ultra S14 Core i7 11th Gen - (8 GB + 32 GB Optane/512 GB SSD/Windows 10 Home) S433EA-AM7...,ASUS ,ASUS VivoBook,Intel,Core i7,11th Gen,8 GB,512 GB SSD,64 bit Windows 10 Operating System,35.56 cm,77990.0,19,4.4,6,23
357,DELL Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050Ti) G15...,DELL ,DELL Core,Intel,Core i7,11th Gen,16 GB,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm,101990.0,20,0.0,0,0
358,APPLE MacBook Air M1 - (8 GB/512 GB SSD/Mac OS Big Sur) Z12A000D3,APPLE ,APPLE MacBook,AppleM1,,,8 GB,512 GB SSD,Mac OS Operating System,33.78 cm,99990.0,9,4.7,644,6942
359,ALIENWARE Core i9 10th Gen - (32 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 2080 wit...,ALIENWARE ,ALIENWARE Core,NVIDIA,,10th Gen,32 GB,1 TB SSD,64 bit Windows 10 Operating System,39.62 cm,345390.0,8,4.6,3,10
360,Lenovo Yoga 6 Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 10 Home) 13ALC6 Thin and Light Lapto...,Lenovo ,Lenovo Yoga,AMD,Ryzen 5,,16 GB,512 GB SSD,64 bit Windows 10 Operating System,33.78 cm,75990.0,27,0.0,0,0
361,ASUS VivoBook Ultra S14 Core i7 11th Gen - (8 GB + 32 GB Optane/512 GB SSD/Windows 10 Home) S433EA-AM7...,ASUS ,ASUS VivoBook,Intel,Core i7,11th Gen,8 GB,512 GB SSD,64 bit Windows 10 Operating System,35.56 cm,77990.0,19,4.4,6,23
362,DELL Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050Ti) G15...,DELL ,DELL Core,Intel,Core i7,11th Gen,16 GB,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm,101990.0,20,0.0,0,0
363,DELL XPS Core i5 11th Gen Intel EVO - (8 GB/512 GB SSD/Windows 10 Home) XPS 9310 Thin and Light Laptop,DELL ,DELL XPS,Intel,Evo platform,11th Gen,8 GB,512 GB SSD,64 bit Windows 10 Operating System,33.78 cm,99990.0,35,0.0,0,0
364,DELL Core i5 5th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) 7548 Laptop,DELL ,DELL Core,,,5th Gen,8 GB,1 TB HDD,64 bit Windows 10 Operating System,39.62 cm,68090.0,2,1.6,4,23
365,ASUS Ryzen 3 Dual Core 3250U - (4 GB/256 GB SSD/Windows 10 Home) M515DA-EJ312TSM515D Thin and Light La...,ASUS ,ASUS Ryzen,AMD,Ryzen 3,,4 GB,256 GB SSD,64 bit Windows 10 Operating System,39.62 cm,33970.0,22,4.3,29,184
366,Lenovo IdeaPad Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) ideapad 3 14ALC6UB Thin and...,Lenovo ,Lenovo IdeaPad,AMD,Ryzen 5,,8 GB,512 GB SSD,64 bit Windows 10 Operating System,35.56 cm,52990.0,22,0.0,0,0
367,DELL Vostro Core i5 11th Gen - (8 GB/1 TB HDD/Windows 10 Home) Vostro 3400 Thin and Light Laptop,DELL ,DELL Vostro,Intel,Core i5,11th Gen,8 GB,1 TB HDD,64 bit Windows 10 Operating System,35.56 cm,48990.0,30,3.6,49,497
368,Lenovo Legion 5 Pro Core i7 11th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,Lenovo ,Lenovo Legion,Intel,Core i7,11th Gen,16 GB,1 TB SSD,64 bit Windows 11 Operating System,40.64 cm,157990.0,29,4.4,0,7
369,Lenovo Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) E15 Laptop,Lenovo ,Lenovo Core,Intel,Core i5,11th Gen,16 GB,512 GB SSD,Windows 10 Operating System,39.62 cm,77990.0,2,4.3,2,19
370,Lenovo IdeaPad Flex 5 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Lapt...,Lenovo ,Lenovo IdeaPad,Intel,Core i3,11th Gen,8 GB,512 GB SSD,64 bit Windows 11 Operating System,35.56 cm,58990.0,28,0.0,0,0
371,Lenovo Legion 5 Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce...,Lenovo ,Lenovo Legion,AMD,Ryzen 7,,16 GB,1 TB SSD,64 bit Windows 10 Operating System,39.62 cm,130990.0,27,0.0,0,0
372,MSI Prestige 14 Intel EVO Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) Prestige 14Evo A11M-62...,MSI ,MSI Prestige,Intel,Core i5,11th Gen,16 GB,512 GB SSD,64 bit Windows 10 Operating System,35.56 cm,79990.0,16,0.0,0,0
373,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS ,ASUS TUF,Intel,Core i5,10th Gen,8 GB,512 GB SSD,64 bit Windows 10 Operating System,39.62 cm,64900.0,13,5.0,0,3
374,ASUS Vivobook Gaming Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDI...,ASUS ,ASUS Vivobook,Intel,Core i7,10th Gen,16 GB,1 TB HDD256 GB SSD,64 bit Windows 10 Operating System,39.62 cm,68990.0,29,4.2,5,39
375,MSI GP76 Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 3070/240 ...,MSI ,MSI GP76,,,11th Gen,16 GB,1 TB SSD,64 bit Windows 10 Operating System,43.94 cm,179990.0,10,4.4,5,24
376,acer Predator Helios 300 Core i9 11th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,acer ,acer Predator,Intel,Core i9,11th Gen,16 GB,1 TB SSD,64 bit Windows 11 Operating System,39.62 cm,144990.0,14,0.0,0,0
377,ASUS ZenBook Duo 14 (2021) Touch Panel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/2 GB Graph...,ASUS ,ASUS ZenBook,Intel,Core i5,11th Gen,16 GB,512 GB SSD,64 bit Windows 10 Operating System,35.56 cm,114990.0,18,4.4,11,59
378,Lenovo IdeaPad Gaming 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeFor...,Lenovo ,Lenovo IdeaPad,Intel,Core i5,11th Gen,8 GB,512 GB SSD,64 bit Windows 10 Operating System,39.62 cm,59990.0,35,3.8,10,68
379,ASUS ROG Zephyrus M16 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics) GU603ZM-K8035W...,ASUS ,ASUS ROG,Intel,Core i7,12th Gen,16 GB,1 TB SSD,64 bit Windows 11 Operating System,40.64 cm,179990.0,42,0.0,0,0
380,ASUS Zenbook 14 ScreenPad Touch Panel Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/2 GB Graphics...,ASUS ,ASUS Zenbook,Intel,Core i7,11th Gen,16 GB,1 TB SSD,64 bit Windows 10 Operating System,35.56 cm,104990.0,28,4.3,0,3
381,DELL XPS Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) XPS 9300 Thin and Light Laptop,DELL ,DELL XPS,Intel,Core i5,10th Gen,8 GB,512 GB SSD,64 bit Windows 10 Operating System,33.78 cm,89990.0,41,0.0,0,0
382,DELL G5 15 SE Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/AMD Radeon RX 5...,DELL ,DELL G5,AMD,Ryzen 5,,8 GB,512 GB SSD,64 bit Windows 10 Operating System,38.0 cm,75990.0,6,4.4,64,358
